listing_id,first_review,last_review,number_of_reviews,accuracy_score,cleanliness_score,checkin_score,communication_score,location_score,value_score,rating
1003530,2013-04-29 04:00:00,2018-08-12 04:00:00,70,10,9,10,10,10,10,94
10133554,2017-05-04 04:00:00,2018-05-07 04:00:00,29,9,9,10,10,10,9,92
10059872,2015-12-19 05:00:00,2018-03-27 04:00:00,3,10,10,10,10,10,8,100
10084023,2015-12-22 05:00:00,2019-03-01 05:00:00,81,10,8,10,10,10,10,92
10091713,2016-12-29 05:00:00,2018-03-18 04:00:00,64,10,9,10,10,10,9,95
10112159,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10096773,2016-01-03 05:00:00,2016-01-03 05:00:00,1,10,10,10,10,10,10,100
10140368,2016-01-06 05:00:00,2019-03-03 05:00:00,239,10,10,10,10,10,10,95
10021707,2016-01-31 05:00:00,2016-01-31 05:00:00,1,10,10,10,10,10,8,100
10038496,2016-01-18 05:00:00,2019-01-28 05:00:00,70,10,10,10,10,10,10,98
10059244,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10116578,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10009999,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10066928,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10115921,2016-02-01 05:00:00,2017-08-07 04:00:00,3,7,7,8,8,8,7,67
10083468,2016-01-02 05:00:00,2019-02-09 05:00:00,178,10,10,10,10,10,10,97
10117617,2016-04-19 04:00:00,2017-08-27 04:00:00,12,10,10,10,10,10,10,96
10133350,2016-05-28 04:00:00,2017-08-19 04:00:00,9,9,8,10,9,9,9,90
10051164,2016-02-10 05:00:00,2016-02-10 05:00:00,1,10,6,8,8,8,8,80
10082307,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10069642,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10108388,2016-06-30 04:00:00,2019-03-06 05:00:00,109,10,10,10,10,10,10,100
10082422,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10120414,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10138784,2016-01-05 05:00:00,2018-11-28 05:00:00,123,10,10,10,10,10,10,99
10030955,2017-01-01 05:00:00,2019-01-01 05:00:00,0,10,10,10,10,10,9,95
10006546,2016-01-03 05:00:00,2019-01-20 05:00:00,51,9,9,10,10,10,9,89
10047964,2016-04-02 04:00:00,2016-04-02 04:00:00,1,10,10,10,10,10,10,100
